StartDate,Summary,chapter,event,Narrated,Hypothesized,NarratedConsciousness,Told,Remembered,Order,values,position
06-09-09,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",1,Rosa narrates,532,,,,,Plot,1,"""bottom right"""
06-09-09,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",1,Rosa narrates,532,,,,,Story,532,"""middle right"""
1833-06-01,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],1,,47,,,,,Plot,2,
1833-06-01,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],1,,47,,,,,Story,47,
1833-06-01,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",1,,,53,,,,Plot,3,
1833-06-01,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",1,,,53,,,,Story,53,
06-09-09,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",1,,,,535,,,Plot,4,
06-09-09,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",1,,,,535,,,Story,535,
06-09-09,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],1,,536,,,,,Plot,5,
06-09-09,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],1,,536,,,,,Story,536,
06-09-09,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],1,,,,537,,,Plot,6,
06-09-09,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],1,,,,537,,,Story,537,
06-09-09,Quentin recalls getting the note from Miss <br> Rosa that morning. [SOURCE: Quentin],1,,530,,,,,Plot,7,
06-09-09,Quentin recalls getting the note from Miss <br> Rosa that morning. [SOURCE: Quentin],1,,530,,,,,Story,530,
06-09-09,"Quentin walks over to Rosa's house, where <br> she awaits him.  [SOURCE: Narrator]",1,,531,,,,,Plot,8,
06-09-09,"Quentin walks over to Rosa's house, where <br> she awaits him.  [SOURCE: Narrator]",1,,531,,,,,Story,531,
06-09-09,"In rethinking Rosa's reasons for telling him <br> the Sutpen story, Quentin changes his mind. <br>  [SOURCE: Narrator]",1,,538,,,,,Plot,9,
06-09-09,"In rethinking Rosa's reasons for telling him <br> the Sutpen story, Quentin changes his mind. <br>  [SOURCE: Narrator]",1,,538,,,,,Story,538,
1862-01-01,"Quentin thinks about Rosa's poetic tributes to <br> the Confederate dead, and the ""martial background"" <br> of her family (6).  Elliptically, he refers to several of the <br> main events in the larger Sutpen story. <br>  [SOURCE: Narrator]",1,Henry shoots Charles,353,,,,,Plot,10,"""top right"""
1862-01-01,"Quentin thinks about Rosa's poetic tributes to <br> the Confederate dead, and the ""martial background"" <br> of her family (6).  Elliptically, he refers to several of the <br> main events in the larger Sutpen story. <br>  [SOURCE: Narrator]",1,Henry shoots Charles,353,,,,,Story,353,"""middle right"""
1833-06-01,"While waiting for Rosa to explain why <br> he is there, Quentin thinks over the <br> long Yoknapatawpha history of Sutpen and his <br> family.  All of this past is an inescapable <br> part of his identity.  [SOURCE: Narrator]",1,,55,,,,,Plot,11,
1833-06-01,"While waiting for Rosa to explain why <br> he is there, Quentin thinks over the <br> long Yoknapatawpha history of Sutpen and his <br> family.  All of this past is an inescapable <br> part of his identity.  [SOURCE: Narrator]",1,,55,,,,,Story,55,
06-09-09,"The narrative skips forward to a scene <br> between Quentin and his father that evening, <br> in which Mr. Compson offers an explanation <br> for why Rosa summoned Quentin that afternoon. <br>  [SOURCE: Narrator]",1,,551,,,,,Plot,12,
06-09-09,"The narrative skips forward to a scene <br> between Quentin and his father that evening, <br> in which Mr. Compson offers an explanation <br> for why Rosa summoned Quentin that afternoon. <br>  [SOURCE: Narrator]",1,,551,,,,,Story,551,
06-09-09,"As Quentin continues to listen to Rosa, <br> while somehow ""remembering"" what his father will <br> say later that day, the evoked ghosts <br> of Sutpen and Ellen morph into an <br> imagined photograph of the four Sutpens - <br> Thomas, Ellen, Judith and Henry - as <br> a ""conventional family group"" (9), juxtaposed to <br> the outraged voice of Rosa talking to <br> him in the same room.  [SOURCE: Narrator]",1,,,,539,,,Plot,13,
06-09-09,"As Quentin continues to listen to Rosa, <br> while somehow ""remembering"" what his father will <br> say later that day, the evoked ghosts <br> of Sutpen and Ellen morph into an <br> imagined photograph of the four Sutpens - <br> Thomas, Ellen, Judith and Henry - as <br> a ""conventional family group"" (9), juxtaposed to <br> the outraged voice of Rosa talking to <br> him in the same room.  [SOURCE: Narrator]",1,,,,539,,,Story,539,
1833-06-01,"Rosa narrates, with a lot of repetition <br> and many chronological discontinuities, her version of <br> the Sutpen story, starting with Sutpen's arrival <br> as an apparent fugitive without past or <br> pedigree.    [SOURCE: Rosa]",1,Sutpen arrives,,,,52,,Plot,14,"""middle right"""
1833-06-01,"Rosa narrates, with a lot of repetition <br> and many chronological discontinuities, her version of <br> the Sutpen story, starting with Sutpen's arrival <br> as an apparent fugitive without past or <br> pedigree.    [SOURCE: Rosa]",1,Sutpen arrives,,,,52,,Story,52,"""top left"""
1838-01-01,Rosa's narrative focuses for a moment on <br> her grudges against her father and sister <br> for involving the family with Sutpen.   [SOURCE: Rosa],1,,,,,96,,Plot,15,
1838-01-01,Rosa's narrative focuses for a moment on <br> her grudges against her father and sister <br> for involving the family with Sutpen.   [SOURCE: Rosa],1,,,,,96,,Story,96,
1861-01-01,"Rosa's narrative continues by describing Ellen's life <br> (and death) during the Civil War, amid <br> the Sutpen family's misfortunes.   [SOURCE: Rosa]",1,,,,,316,,Plot,16,
1861-01-01,"Rosa's narrative continues by describing Ellen's life <br> (and death) during the Civil War, amid <br> the Sutpen family's misfortunes.   [SOURCE: Rosa]",1,,,,,316,,Story,316,
1863-01-01,"Rosa's narrative isolates the moment when her <br> dying sister asked her, a mere child, <br> to protect her older niece.   [SOURCE: Rosa]",1,,,,,361,,Plot,17,
1863-01-01,"Rosa's narrative isolates the moment when her <br> dying sister asked her, a mere child, <br> to protect her older niece.   [SOURCE: Rosa]",1,,,,,361,,Story,361,
1838-01-01,Rosa's narrative returns to her grievance against <br> her sister for marrying Sutpen.   [SOURCE: Rosa],1,,,,,97,,Plot,18,
1838-01-01,Rosa's narrative returns to her grievance against <br> her sister for marrying Sutpen.   [SOURCE: Rosa],1,,,,,97,,Story,97,
