StartDate,Summary,chapter,event,Order,values,position,narrative_status,drop_value
06-09-09,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",1,Rosa narrates,Plot,1,"""bottom right""",Narrated,532
06-09-09,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",1,Rosa narrates,Story,532,"""middle right""",Narrated,532
1833-06-01,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],1,NA,Plot,2,NA,Narrated,47
1833-06-01,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],1,NA,Story,47,NA,Narrated,47
1833-06-01,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",1,NA,Plot,3,NA,Hypothesized,53
1833-06-01,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",1,NA,Story,53,NA,Hypothesized,53
06-09-09,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",1,NA,Plot,4,NA,NarratedConsciousness,535
06-09-09,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",1,NA,Story,535,NA,NarratedConsciousness,535
06-09-09,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],1,NA,Plot,5,NA,Narrated,536
06-09-09,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],1,NA,Story,536,NA,Narrated,536
06-09-09,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],1,NA,Plot,6,NA,NarratedConsciousness,537
