depth,start
1,426
1,486
1,NA
1,2527
1,2542
1,NA
1,4178
1,4192
1,NA
1,4323
1,4376
1,NA
1,4461
1,4511
1,NA
1,4629
1,4709
1,NA
1,4763
1,4774
1,NA
1,4795
1,4817
1,NA
1,6673
1,6955
1,NA
1,8011
1,8020
1,NA
1,8062
1,8082
1,NA
1,8525
1,8545
1,NA
1,9806
1,9851
1,NA
2,12173
2,12192
2,NA
1,10591
1,12525
1,NA
1,12955
1,13170
1,NA
1,14155
1,14169
1,NA
1,14325
1,14339
1,NA
1,14942
1,15006
1,NA
1,17641
1,17704
1,NA
1,19053
1,19093
1,NA
1,19173
1,19201
1,NA
1,19803
1,19833
1,NA
1,20816
1,20832
1,NA
1,24713
1,24881
1,NA
1,27814
1,27975
1,NA
1,30175
1,30199
1,NA
1,30209
1,30227
1,NA
1,30443
1,30457
1,NA
1,30711
1,30723
1,NA
1,32578
1,32614
1,NA
1,36951
1,37249
1,NA
1,38159
1,38280
1,NA
1,46711
1,46935
1,NA
1,47187
1,47359
1,NA
1,47923
1,48121
1,NA
1,51248
1,51337
1,NA
1,53181
1,53234
1,NA
1,55045
1,55064
1,NA
1,56216
1,56230
1,NA
1,57496
1,57629
1,NA
1,58356
1,58373
1,NA
1,60944
1,60981
1,NA
1,63177
1,63184
1,NA
1,65101
1,65126
1,NA
1,66499
1,66601
1,NA
1,69577
1,69648
1,NA
1,72847
1,72899
1,NA
1,74471
1,75215
1,NA
1,76560
1,76617
1,NA
1,79835
1,79846
1,NA
1,79980
1,80020
1,NA
1,80508
1,80516
1,NA
2,81623
2,81636
2,NA
1,80794
1,81710
1,NA
1,81755
1,82090
1,NA
1,83163
1,83228
1,NA
1,84625
1,84740
1,NA
1,85430
1,85439
1,NA
1,88454
1,88636
1,NA
1,91161
1,91380
1,NA
1,91542
1,91587
1,NA
1,92252
1,92272
1,NA
1,93417
1,93455
1,NA
1,97351
1,97445
1,NA
1,97669
1,97789
1,NA
1,98964
1,98971
1,NA
1,99876
1,99885
1,NA
1,100028
1,100144
1,NA
1,100915
1,100977
1,NA
1,102076
1,102349
1,NA
1,102615
1,103211
1,NA
1,103948
1,105664
1,NA
1,106899
1,107070
1,NA
1,108289
1,108295
1,NA
1,108637
1,108656
1,NA
1,108913
1,109032
1,NA
1,110622
1,110756
1,NA
1,111371
1,111966
1,NA
1,112233
1,112246
1,NA
1,113296
1,113300
1,NA
1,114823
1,114843
1,NA
1,115631
1,115737
1,NA
1,116850
1,116866
1,NA
1,116932
1,116948
1,NA
1,117489
1,117552
1,NA
1,119760
1,119801
1,NA
1,123315
1,123452
1,NA
1,125936
1,125975
1,NA
1,126210
1,126344
1,NA
1,128550
1,128623
1,NA
1,129374
1,129400
1,NA
1,131786
1,131789
1,NA
1,132718
1,132832
1,NA
1,133502
1,133549
1,NA
1,134330
1,134356
1,NA
1,136644
1,136743
1,NA
1,137637
1,137699
1,NA
1,138947
1,139051
1,NA
1,140930
1,141352
1,NA
1,145047
1,145224
1,NA
1,148962
1,149002
1,NA
1,152156
1,152243
1,NA
1,152274
1,152293
1,NA
1,152496
1,152895
1,NA
1,159200
1,159211
1,NA
1,160613
1,160618
1,NA
1,162181
1,162208
1,NA
1,162679
1,162684
1,NA
1,164553
1,164558
1,NA
1,165609
1,165612
1,NA
1,166860
1,166863
