EventID,PageNumber,PageEventEnds,OrderWithinPage,OrderPageEnd,EventLength,Chronological Order,StartDate,EndDate,Summary,event_words,chapter,event,Narrated,Hypothesized,NarratedConsciousness,Told,Remembered,Order,values
15493,3,4,3.01,4.01,1,477,1909-09-06,1909-09-06,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",440,1,Rosa narrates,532,NA,NA,NA,NA,Plot,1
15493,3,4,3.01,4.01,1,477,1909-09-06,1909-09-06,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",440,1,Rosa narrates,532,NA,NA,NA,NA,Story,532
15494,4,4,4.01,4.02,0.009999999999999787,42,1833-06-01,1833-06-30,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],101,1,NA,47,NA,NA,NA,NA,Plot,2
15494,4,4,4.01,4.02,0.009999999999999787,42,1833-06-01,1833-06-30,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],101,1,NA,47,NA,NA,NA,NA,Story,47
15495,4,4,4.02,4.03,0.010000000000000675,47,1833-06-01,1838-12-31,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",62,1,NA,NA,53,NA,NA,NA,Plot,3
15495,4,4,4.02,4.03,0.010000000000000675,47,1833-06-01,1838-12-31,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",62,1,NA,NA,53,NA,NA,NA,Story,53
15496,4,5,4.03,5.01,0.9799999999999995,478,1909-09-06,1909-09-06,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",245,1,NA,NA,NA,535,NA,NA,Plot,4
15496,4,5,4.03,5.01,0.9799999999999995,478,1909-09-06,1909-09-06,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",245,1,NA,NA,NA,535,NA,NA,Story,535
15497,5,5,5.01,5.02,0.009999999999999787,479,1909-09-06,1909-09-06,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],172,1,NA,536,NA,NA,NA,NA,Plot,5
15497,5,5,5.01,5.02,0.009999999999999787,479,1909-09-06,1909-09-06,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],172,1,NA,536,NA,NA,NA,NA,Story,536
15499,5,5,5.02,5.03,0.010000000000000675,480,1909-09-06,1909-09-06,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],30,1,NA,NA,NA,537,NA,NA,Plot,6
