absalom_eventid,absalom_startdate,absalom_summary,absalom_chapter,absalom_y_narrated,absalom_y_hypothesized,absalom_y_narratedconsciousness,absalom_y_told,absalom_y_remembered,absalom_y_all,absalom_y_other,absalom_x_plot,absalom_x_story,absalom_textposition_plot,absalom_textposition_story,absalom_label,x_sutpen_plot,x_sutpen_story,y_sutpen,series_sutpen_plot,series_sutpen_story,sutpen_label,textposition_sutpen_plot,textposition_sutpen_story
15493,1909-09-06,"On a hot September afternoon, Quentin Compson <br> is listening to Rosa Coldfield in the <br> ""office"" of her house (3).  [SOURCE: Narrator]",1,532,,,,,532,,1,532,"""bottom right""","""middle right""",Rosa narrates,,,,,,,,
15494,1833-06-01,Rosa's speaking conjures up the scene of <br> Sutpen's arrival in Jefferson.  [SOURCE: Narrator],1,47,,,,,47,,2,47,,,,,,,,,,,
15495,1833-06-01,"In a vision Quentin sees Sutpen, the <br> architect and the slaves create Sutpen's Hundred <br> ""out of the soundless Nothing"" (4).  [SOURCE: Narrator]",1,,53,,,,53,53,3,53,,,,,,,,,,,
15496,1909-09-06,"In a kind of dialogue with himself, <br> Quentin tries to understand the Sutpen story <br> that, as a southerner, he has inherited. <br>  [SOURCE: Narrator]",1,,,535,,,535,535,4,535,,,,,,,,,,,
15497,1909-09-06,Rosa explains why she is telling Quentin <br> the Sutpen story.  [SOURCE: Narrator],1,536,,,,,536,,5,536,,,,,,,,,,,
15499,1909-09-06,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],1,,,537,,,537,537,6,537,,,,,,,,,,,
15500,1909-09-06,Quentin recalls getting the note from Miss <br> Rosa that morning. [SOURCE: Quentin],1,530,,,,,530,,7,530,,,,,,,,,,,
15501,1909-09-06,"Quentin walks over to Rosa's house, where <br> she awaits him.  [SOURCE: Narrator]",1,531,,,,,531,,8,531,,,,,,,,,,,
15502,1909-09-06,"In rethinking Rosa's reasons for telling him <br> the Sutpen story, Quentin changes his mind. <br>  [SOURCE: Narrator]",1,538,,,,,538,,9,538,,,,,,,,,,,
15503,1862-01-01,"Quentin thinks about Rosa's poetic tributes to <br> the Confederate dead, and the ""martial background"" <br> of her family (6).  Elliptically, he refers to several of the <br> main events in the larger Sutpen story. <br>  [SOURCE: Narrator]",1,353,,,,,353,,10,353,"""top right""","""middle right""",Henry shoots Charles,,,,,,,,
15504,1833-06-01,"While waiting for Rosa to explain why <br> he is there, Quentin thinks over the <br> long Yoknapatawpha history of Sutpen and his <br> family.  All of this past is an inescapable <br> part of his identity.  [SOURCE: Narrator]",1,55,,,,,55,,11,55,,,,,,,,,,,
15505,1909-09-06,"The narrative skips forward to a scene <br> between Quentin and his father that evening, <br> in which Mr. Compson offers an explanation <br> for why Rosa summoned Quentin that afternoon. <br>  [SOURCE: Narrator]",1,551,,,,,551,,12,551,,,,,,,,,,,
